h3_cell,latitude,longitude,bairro_clean
89818398273ffff,-8.044769480849956,-34.882478301639466,santo amaro
8981839a067ffff,-8.11179271607143,-34.926340158928575,ipsep
8981838a467ffff,,,
89818398077ffff,-8.054596785510833,-34.90670653742065,madalena
8981838a5cfffff,,,
89818381337ffff,,,
8981838a493ffff,-7.989077925,-34.929985275,brejo da guabiraba
89818398cd3ffff,-8.04753602198767,-34.94100828542841,iputinga
8981839a62bffff,-8.12428821190476,-34.90811635,boa viagem
8981839a86fffff,,,
8981838a39bffff,,,
89818398217ffff,-8.05043854918423,-34.8880371572129,santo amaro
89818398043ffff,-8.060444939888162,-34.896543581603,paissandu
89818398ba7ffff,,,
89818398533ffff,-8.070025906666666,-34.93135208,san martin
89818399c03ffff,-8.025509690228347,-34.88453091229122,campo grande
8981839a9c3ffff,,,
8981839802fffff,-8.051058620135713,-34.91108443683978,madalena
8981839a817ffff,,,
89818398dd7ffff,,,
8981839897bffff,,,
89818398623ffff,-8.067109413535357,-34.89052695396944,coelhos
8981838a423ffff,,,
8981839ae4fffff,-8.07989141657725,-34.93845499874394,jardim são paulo
8981839a1c7ffff,-8.1136004,-34.9438504,ibura
8981839805bffff,-8.060794000334564,-34.89363019577189,boa vista
8981838a103ffff,,,
8981839a3bbffff,-8.101048468989475,-34.93294776921628,caçote
8981839ac6bffff,-8.087433709086126,-34.96305670363689,tejipió
8981838a5d7ffff,,,
898183986cfffff,,,
8981839b173ffff,-8.092017004,-34.883049539999995,pina
8981839a347ffff,,,
8981839886bffff,,,
89818381327ffff,,,
898183985b7ffff,-8.075748,-34.9372526,jardim são paulo
89818398023ffff,-8.05518077227957,-34.91192884073384,madalena
8981839a31bffff,-8.0988662,-34.9248682,areias
8981839a3cfffff,,,
8981839b527ffff,-8.112488553239196,-34.89446799034315,boa viagem
898183980a3ffff,-8.06386077044966,-34.91371505841688,bongi
89818398d8fffff,,,
8981838a10fffff,,,
898183982abffff,-8.04927267129836,-34.89049627046257,boa vista
8981839804bffff,-8.058197681303477,-34.894159878770324,boa vista
8981839a157ffff,-8.110028445624039,-34.94141278493442,ibura
8981839ae2bffff,-8.078135064114008,-34.95064231521708,jardim são paulo
89818398ca7ffff,,,
898183988a7ffff,-8.014951483647982,-34.9583239843993,dois irmãos
898183811c3ffff,,,
8981839812bffff,-8.039759482027156,-34.92914345355873,iputinga
8981838124fffff,,,
8981839a36bffff,,,
8981839a9d3ffff,-8.072154482751031,-34.98186222770337,curado
8981839a35bffff,-8.0975402875,-34.914189587500005,imbiribeira
8981839a283ffff,-8.11795927688105,-34.90883250074635,imbiribeira
89818398e73ffff,-8.02057520715047,-34.92268025788275,casa amarela
89818399183ffff,,,
8981838a14fffff,,,
8981838a433ffff,,,
8981839834fffff,-8.032813169606014,-34.89728301930407,rosarinho
8981839a2b7ffff,-8.113025762933976,-34.91775542247487,ipsep
89818399117ffff,,,
89818398327ffff,-8.029058217127604,-34.91440867364315,casa amarela
8981839a0c7ffff,,,
8981839b123ffff,-8.091146788779266,-34.8923895125603,pina
89818383697ffff,,,
89818398b2fffff,,,
8981838a03bffff,,,
8981839896bffff,,,
8981839829bffff,-8.059863032189275,-34.885393147830634,boa vista
8981839b1a7ffff,,,
89818398ccfffff,-8.040688713931658,-34.941409990700144,iputinga
8981839814fffff,-8.045134344409245,-34.91679205518141,torre
8981839a2bbffff,-8.113431602672579,-34.91283294636048,imbiribeira
898183982c3ffff,-8.057108142129447,-34.879364473940456,santo amaro
8981839aab3ffff,,,
8981839aa23ffff,-8.0550300085209,-34.95229185136061,cidade universitária
8981838a383ffff,,,
89818398bd7ffff,,,
898183981a3ffff,-8.050875384385375,-34.93511275366833,cordeiro
8981839841bffff,,,
8981839885bffff,,,
8981839ab67ffff,-8.038673730166499,-34.967440226793535,várzea
8981838368fffff,,,
89818399d03ffff,-8.013312257119683,-34.90525889387241,alto santa teresinha
8981839a98fffff,,,
89818398c4bffff,-8.034370624508512,-34.93641187497971,iputinga
8981839125bffff,,,
8981839810fffff,-8.046544597137137,-34.927339697207344,cordeiro
8981839abb3ffff,,,
8981838a2b7ffff,,,
89818398ad3ffff,-8.0130829,-34.9197774,vasco da gama
8981839abafffff,,,
89818398bcfffff,,,
8981838345bffff,,,
89818398067ffff,-8.051452400960793,-34.90557321487991,madalena
89818398e23ffff,-8.020155637200242,-34.932813101156086,apipucos
8981838105bffff,,,
89818398a4fffff,-7.997241183333333,-34.91622128333333,dois unidos
8981839ae73ffff,-8.080613464754208,-34.94472608888765,jardim são paulo
898183813a7ffff,,,
8981839a627ffff,-8.124864742664743,-34.91455126140102,imbiribeira
8981838a447ffff,,,
89818399c77ffff,-8.017977526245769,-34.88425988610526,campina do barreto
89818398c2fffff,,,
898183980c7ffff,-8.066621887052147,-34.901427025045685,joana bezerra
898183812a7ffff,,,
898183836dbffff,,,
89818398a27ffff,-7.992080766839228,-34.935477846782106,guabiraba
89818399d43ffff,-8.012175880171723,-34.895332059883735,água fria
89818398827ffff,,,
8981838a157ffff,,,
89818381333ffff,,,
898183980afffff,-8.0581374,-34.9144265,prado
89818398e33ffff,-8.021573946666667,-34.932491325,apipucos
8981839aaa3ffff,,,
89818398b3bffff,,,
8981839a16bffff,,,
